Code;impact_code;Impacts ;Type of impact;type_s;Drivers;driver_s;Area_NS;Risk;Consequences;Exposure;Fishery;Mediterranean area;Area
30;3;Species bathymetric distribution;Fisheries resources;FR;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
31;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
32;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in SST;SST;South;12;3;4;Pelagic;Western;Western (South)
33;6;Species phenology;Fisheries resources;FR;Increase in SST;SST;South;6;2;3;Pelagic;Western;Western (South)
34;7;Trophic structure;Fisheries resources;FR;Increase in SST;SST;South;2;2;1;Pelagic;Western;Western (South)
35;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in SST;SST;South;4;1;4;Pelagic;Western;Western (South)
36;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in SST;SST;South;6;3;2;Pelagic;Western;Western (South)
37;10;Presence of non-native species;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
38;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
39;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in SST;SST;South;4;2;2;Pelagic;Western;Western (South)
40;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
41;14;Efficiency of gears;Fishing operations;FO;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
42;15;Fishing trips/days at sea;Fishing operations;FO;Increase in SST;SST;South;6;2;3;Pelagic;Western;Western (South)
43;16;Landing value;Communities and livelihoods;CL;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
44;17;Employment rate female;Communities and livelihoods;CL;Increase in SST;SST;South;6;3;2;Pelagic;Western;Western (South)
45;18;Employment rate male;Communities and livelihoods;CL;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
46;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
47;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
48;21;Cultural and heritage;Communities and livelihoods;CL;Increase in SST;SST;South;6;2;3;Pelagic;Western;Western (South)
49;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in SST;SST;South;4;2;2;Pelagic;Western;Western (South)
50;23;Health issues;Wider society and economy implications;WS;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
51;24;Food security;Wider society and economy implications;WS;Increase in SST;SST;South;16;4;4;Pelagic;Western;Western (South)
52;25;Recreational fisheries;Wider society and economy implications;WS;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
53;26;National income;Wider society and economy implications;WS;Increase in SST;SST;South;6;2;3;Pelagic;Western;Western (South)
54;27;Tourism activities;Wider society and economy implications;WS;Increase in SST;SST;South;1;1;1;Pelagic;Western;Western (South)
55;1;Catches composition;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
56;2;Species geographic distribution;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
57;3;Species bathymetric distribution;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
58;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
59;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in salinity;Sal;North;4;2;2;Pelagic;Western;Western (North)
60;6;Species phenology;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
61;7;Trophic structure;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
62;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in salinity;Sal;North;4;2;2;Pelagic;Western;Western (North)
63;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
64;10;Presence of non-native species;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
65;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
66;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
67;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
68;14;Efficiency of gears;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
69;15;Fishing trips/days at sea;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
70;16;Landing value;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
71;17;Employment rate female;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
72;18;Employment rate male;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
73;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
74;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
75;21;Cultural and heritage;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
76;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
77;23;Health issues;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
78;24;Food security;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
79;25;Recreational fisheries;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
80;26;National income;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
81;27;Tourism activities;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Western;Western (North)
82;1;Catches composition;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
83;2;Species geographic distribution;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
84;3;Species bathymetric distribution;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
85;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
86;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in salinity;Sal;South;4;2;2;Pelagic;Western;Western (South)
87;6;Species phenology;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
88;7;Trophic structure;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
89;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in salinity;Sal;South;4;2;2;Pelagic;Western;Western (South)
90;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
91;10;Presence of non-native species;Fisheries resources;FR;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
92;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
93;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
94;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
95;14;Efficiency of gears;Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
96;15;Fishing trips/days at sea;Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
97;16;Landing value;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
98;17;Employment rate female;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
99;18;Employment rate male;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
100;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
101;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
102;21;Cultural and heritage;Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
103;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
104;23;Health issues;Wider society and economy implications;WS;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
105;24;Food security;Wider society and economy implications;WS;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
106;25;Recreational fisheries;Wider society and economy implications;WS;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
107;26;National income;Wider society and economy implications;WS;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
108;27;Tourism activities;Wider society and economy implications;WS;Increase in salinity;Sal;South;1;1;1;Pelagic;Western;Western (South)
109;1;Catches composition;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Western;Western (North)
110;2;Species geographic distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Western;Western (North)
111;3;Species bathymetric distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
112;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Western;Western (North)
113;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
114;6;Species phenology;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
115;7;Trophic structure;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
116;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;2;1;2;Pelagic;Western;Western (North)
117;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
118;10;Presence of non-native species;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
119;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;North;12;3;4;Pelagic;Western;Western (North)
120;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
121;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
122;14;Efficiency of gears;Fishing operations;FO;Increase in frequency of heat waves;HW;North;2;2;1;Pelagic;Western;Western (North)
123;15;Fishing trips/days at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
124;16;Landing value;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
125;17;Employment rate female;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;2;1;2;Pelagic;Western;Western (North)
126;18;Employment rate male;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Western;Western (North)
127;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
128;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
129;21;Cultural and heritage;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Western;Western (North)
130;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;8;2;4;Pelagic;Western;Western (North)
131;23;Health issues;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
132;24;Food security;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
133;25;Recreational fisheries;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
134;26;National income;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Western;Western (North)
135;27;Tourism activities;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Western;Western (North)
136;1;Catches composition;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Western;Western (South)
137;2;Species geographic distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
138;3;Species bathymetric distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
139;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Western;Western (South)
140;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
141;6;Species phenology;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
142;7;Trophic structure;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
143;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;2;1;2;Pelagic;Western;Western (South)
144;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;2;2;1;Pelagic;Western;Western (South)
145;10;Presence of non-native species;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
146;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;South;12;3;4;Pelagic;Western;Western (South)
147;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
148;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
149;14;Efficiency of gears;Fishing operations;FO;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Western;Western (South)
150;15;Fishing trips/days at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Western;Western (South)
151;16;Landing value;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Western;Western (South)
152;17;Employment rate female;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Western;Western (South)
153;18;Employment rate male;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Western;Western (South)
154;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Western;Western (South)
155;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
156;21;Cultural and heritage;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Western;Western (South)
157;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Western;Western (South)
158;23;Health issues;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
159;24;Food security;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Western;Western (South)
160;25;Recreational fisheries;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;1;1;1;Pelagic;Western;Western (South)
161;26;National income;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Western;Western (South)
162;27;Tourism activities;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Western;Western (South)
163;1;Catches composition;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Western;Western (North)
164;2;Species geographic distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Western;Western (North)
165;3;Species bathymetric distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
166;4;Trends in abundance/biomass;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Western;Western (North)
167;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Western;Western (North)
168;6;Species phenology;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;6;2;3;Pelagic;Western;Western (North)
169;7;Trophic structure;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;8;2;4;Pelagic;Western;Western (North)
170;8;Life history traits (growth, reproduction);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;8;2;4;Pelagic;Western;Western (North)
171;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;6;2;3;Pelagic;Western;Western (North)
172;10;Presence of non-native species;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Western;Western (North)
173;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
174;12;Cost of post-harvesting (preservation);Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
175;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
176;14;Efficiency of gears;Fishing operations;FO;Change in precipitation-runoff;PRE;North;6;3;2;Pelagic;Western;Western (North)
177;15;Fishing trips/days at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;North;6;3;2;Pelagic;Western;Western (North)
178;16;Landing value;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Western;Western (North)
179;17;Employment rate female;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Western;Western (North)
180;18;Employment rate male;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Western;Western (North)
181;19;Contribution of fish products to food security;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Western;Western (North)
182;20;Safety of (coastal) communities;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
183;21;Cultural and heritage;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Western;Western (North)
184;22;Market opportunities (non-native species);Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Western;Western (North)
185;23;Health issues;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
186;24;Food security;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
187;25;Recreational fisheries;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
188;26;National income;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
189;27;Tourism activities;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Western;Western (North)
190;1;Catches composition;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
191;2;Species geographic distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
192;3;Species bathymetric distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
193;4;Trends in abundance/biomass;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
194;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
195;6;Species phenology;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
196;7;Trophic structure;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
197;8;Life history traits (growth, reproduction);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
198;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
199;10;Presence of non-native species;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
200;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
201;12;Cost of post-harvesting (preservation);Fishing operations;FO;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
202;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
203;14;Efficiency of gears;Fishing operations;FO;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
204;15;Fishing trips/days at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
205;16;Landing value;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
206;17;Employment rate female;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
207;18;Employment rate male;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
208;19;Contribution of fish products to food security;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
209;20;Safety of (coastal) communities;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
210;21;Cultural and heritage;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
211;22;Market opportunities (non-native species);Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
212;23;Health issues;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
213;24;Food security;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
214;25;Recreational fisheries;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
215;26;National income;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
216;27;Tourism activities;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;South;1;1;1;Pelagic;Western;Western (South)
217;1;Catches composition;Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
218;2;Species geographic distribution;Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
219;3;Species bathymetric distribution;Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
220;4;Trends in abundance/biomass;Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
221;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
222;6;Species phenology;Fisheries resources;FR;Sea level rise;SL;North;1;1;1;Pelagic;Western;Western (North)
